time,stock,paired_shares,imbalance_shares,imbalance_direction,imbalance_ratio,signed_imbalance,near_reference_deviation,far_price,near_price,reference_price,signal
0 days 09:29:59.143974596,BBI,11799,23677,S,0.6674089525312887,-0.6674089525312887,-0.009036144578313213,0.2303,0.2303,0.2324,-1
0 days 09:29:59.291132197,ATRI,97,196,S,0.6689419795221843,-0.6689419795221843,-0.0003943217665615142,633.75,633.75,634.0,-1
0 days 09:29:59.071182981,LKCO,1875,3905,S,0.6756055363321799,-0.6756055363321799,-0.01064718162839247,0.4725,0.4739,0.479,-1
0 days 09:29:59.247590820,RNWK,2409,5248,S,0.6853859213791302,-0.6853859213791302,-0.008716458725004263,0.56,0.58,0.5851,-1
0 days 09:29:59.218254818,PALI,26211,58905,S,0.6920555477231073,-0.6920555477231073,-0.01004124081047147,0.5521,0.5521,0.5577,-1
0 days 09:29:59.009921426,IDRA,466,1075,S,0.6975989617131733,-0.6975989617131733,-0.0024330900243309025,0.41,0.41,0.411,-1
0 days 09:29:59.218350328,ENLV,1796,4576,S,0.7181418706842435,-0.7181418706842435,-0.017897091722595095,4.34,4.39,4.47,-1
0 days 09:29:59.014568172,SCPH,1460,3893,S,0.7272557444423687,-0.7272557444423687,-0.0060000000000000496,4.91,4.97,5.0,-1
0 days 09:29:59.107574991,CPOP,400,1074,S,0.728629579375848,-0.728629579375848,-0.016393442622950834,0.9,0.9,0.915,-1
0 days 09:29:59.015693347,BTB,2945,8244,S,0.7367950665832514,-0.7367950665832514,-0.027027027027027053,0.36,0.36,0.37,-1
0 days 09:29:59.042161317,SSTI,119,352,S,0.7473460721868365,-0.7473460721868365,-0.005709935287400022,26.11,26.12,26.27,-1
0 days 09:29:59.045953181,MARPS,310,1069,S,0.7751994198694706,-0.7751994198694706,-0.0013054830287205987,7.6,7.65,7.66,-1
0 days 09:29:59.034074150,OXLCL,80,300,S,0.7894736842105263,-0.7894736842105263,-0.004372019077901408,25.05,25.05,25.16,-1
0 days 09:29:59.118912469,NRXP,317,1470,S,0.8226077224398433,-0.8226077224398433,-0.013245033112582794,1.49,1.49,1.51,-1
0 days 09:29:59.142801513,SCPS,80,389,S,0.8294243070362474,-0.8294243070362474,-0.008438818565400852,0.47,0.47,0.474,-1
0 days 09:29:59.315865453,EZGO,55,317,S,0.8521505376344086,-0.8521505376344086,-0.027586206896551748,0.846,0.846,0.87,-1
0 days 09:29:59.000399605,PBTS,772,4770,S,0.8607001082641645,-0.8607001082641645,-0.006535947712418307,0.2999,0.304,0.306,-1
0 days 09:29:59.114078507,SESN,37010,348850,S,0.9040843829368165,-0.9040843829368165,-0.002737583105201324,0.51,0.51,0.5114,-1
